id;name;brand;type;subtype;size;price;promoprice;nparcel;parcel;number;sale;image;image2;image3;enable
PROD001;Delta Fish - Acelerador Biológico;ZBiotec;Condicionadores de Água;Acelerador Biológico;500ml;160;160;1;160;1;false;delta_acelerador_500.webp;;;true
PROD002;Delta Fish - Acelerador Biológico;ZBiotec;Condicionadores de Água;Acelerador Biológico;250ml;99;99;1;99;1;false;delta_acelerador_250.webp;;;true
PROD003;Delta Fish - Acelerador Biológico;ZBiotec;Condicionadores de Água;Acelerador Biológico;100ml;69;69;1;69;1;false;delta_acelerador_100.webp;;;true
PROD004;Delta Reef - Suplemento para corais;ZBiotec;Suplemento;Corais;500ml;69;69;1;69;1;false;delta_reef_suplemento_500.webp;;;true
PROD005;Delta Reef - Suplemento para corais;ZBiotec;Suplemento;Corais;250ml;69;69;1;69;1;false;delta_reef_suplemento_250.webp;;;true
PROD006;Delta Reef - Suplemento para corais;ZBiotec;Suplemento;Corais;100ml;69;69;1;69;1;false;delta_reef_suplemento_100.webp;;;true
PROD007;Min S -  Alimento Líquido Para Corais;Fauna Marin;Alimento;Corais;250ml;367;367;1;367;1;false;fauna-marin-mins.webp;;;true
PROD008;Soft Protect;Fauna Marin;Alimento;Peixes E Corais;63g;97;97;1;97;1;false;fauna-marin-soft-protect.webp;;;true
PROD009;Trace 1 Elementos Traços;Fauna Marin;Suplemento;Balling;500ml;126;126;1;126;1;false;fauna-marin-trace-1.webp;;;true
PROD010;Trace 2 Elementos Traços;Fauna Marin;Suplemento;Balling;500ml;126;126;1;126;1;false;fauna-marin-trace-2.webp;;;true
PROD011;Trace 3 Elementos Traços;Fauna Marin;Suplemento;Balling;500ml;126;126;1;126;1;false;fauna-marin-trace-3.webp;;;true
PROD012;Soft Spirulina M;Fauna Marin;Alimento;Peixes;158g;180;180;1;180;1;false;fauna-marin-soft-spirulina-m.webp;;;true
PROD013;Coral Food Dust;Fauna Marin;Alimento;Corais;50g;185;185;1;185;1;false;fauna-marin-coral-dust-food.webp;;;true
PROD014;Coral Vitality;Fauna Marin;Suplemento;Corais;50ml;330;330;1;330;1;false;fauna-marin-coral-vitality.webp;;;true
PROD015;Ultra-phos;Fauna Marin;Materiais Filtrantes;Quimíca;2kg;1;1;1;1;1;false;fauna-marin-ultra-phos.webp;;;false
PROD016;Calcium Mix;Fauna Marin;Suplemento;Balling;2kg;253;253;1;253;1;false;delta_acelerador_500.webp;;;false
PROD017;Zeo Light Zeolith;Fauna Marin;Materiais Filtrantes;Quimíca;2kg;1;1;1;1;1;false;delta_acelerador_500.webp;;;false
PROD018;Magnesium Mix;Fauna Marin;Suplemento;Balling;4kg;1;1;1;1;1;false;delta_acelerador_500.webp;;;false
PROD019;Calcium Mix;Fauna Marin;Suplemento;Balling;4kg;1;1;1;1;1;false;delta_acelerador_500.webp;;;false
PROD020;Balling Light Set ;Fauna Marin;Suplemento;Balling;;1;1;1;1;1;false;delta_acelerador_500.webp;;;false
PROD021;Sea Salt;Fauna Marin;Condicionadores de Água;Sal;25kg;1;1;1;1;1;false;delta_acelerador_500.webp;;;false
PROD022;Phos 0.04;Fauna Marin;Materiais Filtrantes;Quimíca;475g;395;395;1;395;1;false;delta_acelerador_500.webp;;;false
PROD023;Coral Sprint;Fauna Marin;Alimento;Corais;70g;1;1;1;1;1;false;delta_acelerador_500.webp;;;false
PROD024;Reef dip;Seachem;Desinfetante;Peixes E Corais;100ml;63;63;1;63;1;false;delta_acelerador_500.webp;;;false
PROD025;Easy E;Quantum;Suplemento;Balling;1L;196;196;1;196;1;false;delta_acelerador_500.webp;;;false
PROD026;Agaronite B;Quantum;Suplemento;Balling;1L;157;157;1;157;1;false;delta_acelerador_500.webp;;;false
PROD027;Easy E;Quantum;Suplemento;Balling;500ml;136;136;1;136;1;false;delta_acelerador_500.webp;;;false
PROD028;Easy Z;Quantum;Suplemento;Balling;500ml;136;136;1;136;1;false;delta_acelerador_500.webp;;;false
PROD029;Agaronite A;Quantum;Suplemento;Balling;500ml;157;157;1;157;1;false;delta_acelerador_500.webp;;;false
PROD030;Bio-Gen;Quantum;Suplemento;Corais;250ml;125;125;1;125;1;false;delta_acelerador_500.webp;;;false
PROD031;Bio-Kalium;Quantum;Suplemento;Corais;250ml;125;125;1;125;1;false;delta_acelerador_500.webp;;;false
PROD032;Bio-Enchacem;Quantum;Suplemento;Corais;250ml;135;135;1;135;1;false;delta_acelerador_500.webp;;;false
PROD033;Pure Phyto;Quantum;Suplemento;Corais;100ml;75;75;1;75;1;false;delta_acelerador_500.webp;;;false
PROD034;Resina Mista Mixed Resin;Ocean tech;Materiais Filtrantes;Quimíca;1L;159;159;1;159;1;false;delta_acelerador_500.webp;;;false
PROD035;Teste Kh;Colombo;Condicionadores de Água;Teste;;148;148;1;148;1;false;colombo-teste-kh.webp;;;true
PROD036;Teste Ca;Colombo;Condicionadores de Água;Teste;;148;148;1;148;1;false;colombo-teste-ca.webp;;;true
PROD037;Teste Mg;Colombo;Condicionadores de Água;Teste;;148;148;1;148;1;false;colombo-teste-mg.webp;;;true
